Id,gameid,Team 1,League,Date,Team 2,Blue team losing,Blue team winning
,ESPORTSTMNT02_3164695,Liberty,CBLOL,25/02/2023,Fluxo,1.51,2.75
,ESPORTSTMNT02_3165582,RED Canids,CBLOL,25/02/2023,Los Grandes,1.37,3.25
,ESPORTSTMNT02_3163681,LOUD,CBLOL,25/02/2023,KaBuM! Esports,2.38,1.65
,ESPORTSTMNT02_3164616,Vivo Keyd Stars,CBLOL,25/02/2023,paiN Gaming,1.54,3.18
,ESPORTSTMNT02_3164252,TSM,LCS,24/02/2023,Cloud9,1.44,3.3
,ESPORTSTMNT02_3164302,Immortals,LCS,24/02/2023,Counter Logic Gaming,1.45,2.99
,ESPORTSTMNT02_3165238,Golden Guardians,LCS,25/02/2023,Evil Geniuses,1.83,2.45
,ESPORTSTMNT02_3163371,100 Thieves,LCS,25/02/2023,Team Liquid,1.81,2.2
,ESPORTSTMNT02_3163394,Dignitas,LCS,25/02/2023,FlyQuest,1.17,7.1
,ESPORTSTMNT03_3116064,FlyQuest,LCS,02/03/2023,Counter Logic Gaming,3.88,1.3
,ESPORTSTMNT03_3116100,TSM,LCS,02/03/2023,Evil Geniuses,1.45,3.21
,ESPORTSTMNT03_3115161,100 Thieves,LCS,03/03/2023,Cloud9,1.55,2.71
,ESPORTSTMNT03_3115173,Golden Guardians,LCS,03/03/2023,Team Liquid,2.37,1.66
,ESPORTSTMNT03_3116154,Dignitas,LCS,03/03/2023,Immortals,2.34,1.67
,ESPORTSTMNT03_3114509,Counter Logic Gaming,LCS,03/03/2023,100 Thieves,1.93,1.95
,ESPORTSTMNT03_3115567,Cloud9,LCS,03/03/2023,Dignitas,4.52,1.25
,ESPORTSTMNT03_3115587,Evil Geniuses,LCS,03/03/2023,FlyQuest,1.53,2.73
,ESPORTSTMNT03_3114599,Team Liquid,LCS,04/03/2023,TSM,2.7,1.54
,ESPORTSTMNT03_3116597,Immortals,LCS,04/03/2023,Golden Guardians,1.36,3.46
,ESPORTSTMNT03_3124379,FlyQuest,LCS,09/03/2023,Team Liquid,3.46,1.44
,ESPORTSTMNT03_3125428,TSM,LCS,09/03/2023,Immortals,3.05,1.49
,ESPORTSTMNT06_2775338,Cloud9,LCS,10/03/2023,Evil Geniuses,2.1,1.9
,ESPORTSTMNT06_2775340,100 Thieves,LCS,10/03/2023,Golden Guardians,1.54,2.8
,ESPORTSTMNT06_2775347,Counter Logic Gaming,LCS,10/03/2023,Dignitas,1.43,3.32
,ESPORTSTMNT03_3125864,Cloud9,LCS,10/03/2023,Team Liquid,2.65,1.56
,ESPORTSTMNT03_3123916,FlyQuest,LCS,10/03/2023,Immortals,6.15,1.17
,ESPORTSTMNT03_3124934,Evil Geniuses,LCS,11/03/2023,Counter Logic Gaming,2.5,1.65
,ESPORTSTMNT03_3124972,Dignitas,LCS,11/03/2023,100 Thieves,1.49,3.03
,ESPORTSTMNT03_3124976,Golden Guardians,LCS,11/03/2023,TSM,2.51,1.63
,ESPORTSTMNT01_3325173,Cloud9,LCS,15/03/2023,FlyQuest,2.1,1.96
,ESPORTSTMNT01_3325205,Golden Guardians,LCS,15/03/2023,Counter Logic Gaming,2.5,1.64
,ESPORTSTMNT01_3325223,100 Thieves,LCS,15/03/2023,TSM,2.4,1.59
,ESPORTSTMNT01_3326234,Evil Geniuses,LCS,16/03/2023,Immortals,5.05,1.22
,ESPORTSTMNT01_3326246,Team Liquid,LCS,16/03/2023,Dignitas,3.46,1.41
,ESPORTSTMNT01_3326454,100 Thieves,LCS,16/03/2023,Evil Geniuses,1.65,2.49
,ESPORTSTMNT01_3325480,TSM,LCS,16/03/2023,Dignitas,2.7,1.63
,ESPORTSTMNT01_3324554,Counter Logic Gaming,LCS,16/03/2023,Team Liquid,1.65,2.47
,ESPORTSTMNT01_3325518,Cloud9,LCS,17/03/2023,Immortals,6,1.17
,ESPORTSTMNT01_3326540,FlyQuest,LCS,17/03/2023,Golden Guardians,2.78,1.55
,ESPORTSTMNT01_3325730,Counter Logic Gaming,LCS,17/03/2023,Cloud9,1.42,3.25
,ESPORTSTMNT01_3325749,FlyQuest,LCS,17/03/2023,TSM,3.88,1.36
,ESPORTSTMNT01_3326772,Evil Geniuses,LCS,17/03/2023,Team Liquid,2.38,1.79
,ESPORTSTMNT01_3324855,Dignitas,LCS,18/03/2023,Golden Guardians,1.49,3.16
,ESPORTSTMNT01_3324865,100 Thieves,LCS,18/03/2023,Immortals,3.56,1.38
,ESPORTSTMNT01_3324874,FlyQuest,LCS,18/03/2023,Cloud9,3.25,1.45
,ESPORTSTMNT01_3325814,Evil Geniuses,LCS,18/03/2023,100 Thieves,2,2
,ESPORTSTMNT01_3324890,Counter Logic Gaming,LCS,18/03/2023,100 Thieves,2,2
,ESPORTSTMNT01_3331467,FlyQuest,LCS,23/03/2023,100 Thieves,3.25,1.45
,ESPORTSTMNT01_3331486,FlyQuest,LCS,23/03/2023,100 Thieves,3.25,1.45
,ESPORTSTMNT01_3330530,100 Thieves,LCS,23/03/2023,FlyQuest,1.45,3.25
,ESPORTSTMNT01_3330766,Cloud9,LCS,24/03/2023,Counter Logic Gaming,5,1.25
,ESPORTSTMNT01_3332769,Counter Logic Gaming,LCS,24/03/2023,Cloud9,1.25,5
,ESPORTSTMNT01_3332778,Cloud9,LCS,24/03/2023,Counter Logic Gaming,5,1.25
,ESPORTSTMNT01_3332787,Counter Logic Gaming,LCS,24/03/2023,Cloud9,1.25,5
,ESPORTSTMNT01_3331967,100 Thieves,LCS,25/03/2023,Golden Guardians,2.45,1.7
,ESPORTSTMNT01_3334011,Golden Guardians,LCS,25/03/2023,100 Thieves,1.7,2.45
