Name,Win %,patch
KarmaKarma,59.62%,13.05
KarmaKarma,47.64%,13.05
KarthusKarthus,51.55%,13.05
KarthusKarthus,51.15%,13.05
KarthusKarthus,41.03%,13.05
KassadinKassadin,45.73%,13.05
KatarinaKatarina,44.49%,13.05
KayleKayle,59.15%,13.05
KayleKayle,55.36%,13.05
KaynKayn,49.88%,13.05
KennenKennen,50.88%,13.05
Kha'ZixKha'Zix,47.95%,13.05
KindredKindred,53.26%,13.05
KledKled,51.52%,13.05
KledKled,48.15%,13.05
Kog'MawKog'Maw,58.33%,13.05
Kog'MawKog'Maw,45.00%,13.05
LeBlancLeBlanc,47.29%,13.05
Lee SinLee Sin,52.91%,13.05
LeonaLeona,48.57%,13.05
LilliaLillia,49.51%,13.05
LissandraLissandra,52.50%,13.05
LucianLucian,52.81%,13.05
LuluLulu,46.77%,13.05
LuxLux,51.76%,13.05
LuxLux,49.30%,13.05
MalphiteMalphite,52.97%,13.05
MalphiteMalphite,52.31%,13.05
MalzaharMalzahar,46.73%,13.05
MaokaiMaokai,66.67%,13.05
MaokaiMaokai,50.00%,13.05
MaokaiMaokai,30.00%,13.05
Master YiMaster Yi,40.76%,13.05
Miss FortuneMiss Fortune,48.94%,13.05
Miss FortuneMiss Fortune,36.67%,13.05
MordekaiserMordekaiser,47.59%,13.05
MorganaMorgana,52.99%,13.05
NamiNami,49.24%,13.05
NasusNasus,51.90%,13.05
NasusNasus,42.55%,13.05
NautilusNautilus,53.22%,13.05
NeekoNeeko,58.33%,13.05
NidaleeNidalee,51.60%,13.05
NilahNilah,50.98%,13.05
NocturneNocturne,55.56%,13.05
NunuNunu,42.86%,13.05
NunuNunu,53.57%,13.05
OlafOlaf,62.31%,13.05
OlafOlaf,50.00%,13.05
OriannaOrianna,50.26%,13.05
OrnnOrnn,45.45%,13.05
PantheonPantheon,62.58%,13.05
PantheonPantheon,51.35%,13.05
PantheonPantheon,51.37%,13.05
PantheonPantheon,50.77%,13.05
PoppyPoppy,61.72%,13.05
PoppyPoppy,54.17%,13.05
PoppyPoppy,51.79%,13.05
PykePyke,54.32%,13.05
QiyanaQiyana,51.89%,13.05
QiyanaQiyana,58.97%,13.05
QuinnQuinn,53.23%,13.05
RakanRakan,54.52%,13.05
RammusRammus,52.91%,13.05
Rek'SaiRek'Sai,71.43%,13.05
Rek'SaiRek'Sai,55.46%,13.05
RellRell,55.45%,13.05
Renata GlascRenata Glasc,55.15%,13.05
RenektonRenekton,50.53%,13.05
RengarRengar,55.22%,13.05
RengarRengar,56.00%,13.05
RivenRiven,54.58%,13.05
RumbleRumble,56.71%,13.05
RumbleRumble,60.42%,13.05
RumbleRumble,54.26%,13.05
RyzeRyze,52.53%,13.05
RyzeRyze,51.61%,13.05
SamiraSamira,55.68%,13.05
SejuaniSejuani,46.45%,13.05
SejuaniSejuani,43.64%,13.05
SennaSenna,48.17%,13.05
SeraphineSeraphine,55.22%,13.05
SeraphineSeraphine,48.33%,13.05
SettSett,52.36%,13.05
ShacoShaco,44.30%,13.05
ShacoShaco,45.71%,13.05
ShenShen,55.80%,13.05
ShyvanaShyvana,47.62%,13.05
ShyvanaShyvana,53.13%,13.05
SingedSinged,65.52%,13.05
SingedSinged,53.42%,13.05
SionSion,48.11%,13.05
SionSion,58.43%,13.05
SivirSivir,55.90%,13.05
SkarnerSkarner,61.36%,13.05
SonaSona,52.17%,13.05
SorakaSoraka,48.09%,13.05
SwainSwain,72.00%,13.05
SwainSwain,56.72%,13.05
SwainSwain,52.63%,13.05
SylasSylas,53.43%,13.05
SylasSylas,52.16%,13.05
SyndraSyndra,54.79%,13.05
Tahm KenchTahm Kench,57.14%,13.05
Tahm KenchTahm Kench,47.06%,13.05
TaliyahTaliyah,71.15%,13.05
TaliyahTaliyah,53.07%,13.05
TalonTalon,56.34%,13.05
TalonTalon,44.44%,13.05
TaricTaric,57.48%,13.05
TeemoTeemo,55.04%,13.05
ThreshThresh,54.57%,13.05
TristanaTristana,52.00%,13.05
TristanaTristana,50.81%,13.05
TrundleTrundle,43.48%,13.05
TryndamereTryndamere,46.67%,13.05
TryndamereTryndamere,42.11%,13.05
Twisted FateTwisted Fate,54.02%,13.05
TwitchTwitch,52.17%,13.05
TwitchTwitch,50.72%,13.05
UdyrUdyr,52.55%,13.05
UrgotUrgot,33.33%,13.05
VarusVarus,50.67%,13.05
VayneVayne,54.55%,13.05
VayneVayne,47.69%,13.05
VeigarVeigar,56.27%,13.05
VeigarVeigar,54.64%,13.05
Vel'KozVel'Koz,48.72%,13.05
VexVex,54.35%,13.05
ViVi,52.71%,13.05
ViegoViego,51.80%,13.05
ViktorViktor,51.75%,13.05
VladimirVladimir,53.81%,13.05
VladimirVladimir,47.29%,13.05
VolibearVolibear,56.25%,13.05
VolibearVolibear,46.15%,13.05
WarwickWarwick,56.16%,13.05
WarwickWarwick,40.00%,13.05
WukongWukong,54.73%,13.05
WukongWukong,56.64%,13.05
XayahXayah,54.34%,13.05
XerathXerath,51.02%,13.05
XerathXerath,38.16%,13.05
Xin ZhaoXin Zhao,52.52%,13.05
